accelX,accelY,accelZ,magX,magY,magZ,gyroX,gyroY,gyroZ
204,64,-2092,-153,105,-13,7,22,1
198,63,-2083,-146,106,-10,8,23,0
199,66,-2091,-159,107,-13,7,21,0
201,65,-2090,-148,114,-6,5,21,1
202,62,-2084,-149,111,-15,5,18,2
204,61,-2090,-149,109,-7,5,22,-2
203,58,-2090,-151,103,-13,8,22,-1
200,60,-2090,-149,111,-17,6,22,0
201,62,-2084,-150,116,-10,7,23,0
202,62,-2095,-150,112,-16,7,23,1
197,62,-2091,-151,115,-9,7,19,0
203,60,-2088,-153,113,-7,6,22,1
199,59,-2095,-155,109,-7,6,22,-1
201,63,-2088,-148,124,-14,8,21,1
202,62,-2088,-149,107,-19,6,21,1
203,66,-2088,-145,103,-15,7,22,-1
200,64,-2088,-156,110,-12,7,21,1
199,64,-2094,-151,117,-15,4,20,1
199,59,-2090,-156,116,-12,4,23,-2
198,59,-2093,-152,112,-14,8,21,0
203,63,-2086,-159,119,-19,7,23,1
203,59,-2086,-149,107,-15,6,24,1
198,61,-2089,-152,110,-12,5,18,1
201,63,-2099,-150,112,-16,7,23,2
200,58,-2090,-149,101,-15,5,21,-1
202,58,-2091,-154,108,-18,6,22,-1
202,57,-2091,-154,110,-12,5,22,1
200,64,-2095,-155,109,-17,6,21,-1
199,61,-2094,-159,111,-11,8,22,-1
200,63,-2083,-157,121,-9,9,22,-2
202,60,-2090,-154,108,-10,5,22,1
203,62,-2094,-150,116,-20,8,20,0
201,58,-2093,-150,110,-12,9,24,1
199,63,-2086,-145,111,-15,5,20,-1
202,57,-2086,-148,112,-8,7,24,1
200,58,-2084,-145,107,-11,9,22,0
201,62,-2089,-144,110,-14,9,21,-2
201,60,-2091,-154,106,-22,7,23,1
201,61,-2094,-158,114,-6,7,22,-1
204,64,-2081,-152,110,-10,7,23,2
200,59,-2089,-150,112,-22,8,23,1
202,62,-2087,-154,106,-12,7,22,0
202,64,-2090,-146,116,-8,6,26,-2
200,60,-2089,-152,112,-16,7,23,2
202,62,-2093,-151,115,-7,7,23,0
199,62,-2091,-156,108,-14,8,22,2
199,61,-2087,-149,115,-13,6,22,3
200,63,-2097,-142,118,-10,8,23,-2
203,61,-2094,-151,107,-9,6,22,0
203,60,-2092,-152,122,-10,6,21,0
202,62,-2088,-151,107,-11,8,24,-2
203,59,-2088,-152,110,-18,8,21,1
206,58,-2093,-150,108,-16,7,20,-1
202,60,-2088,-155,115,-11,8,20,-1
199,61,-2093,-155,111,-17,8,23,0
202,63,-2089,-148,112,-12,9,20,-1
204,62,-2089,-144,104,-12,8,21,1
203,64,-2088,-158,116,-14,7,22,-1
207,64,-2087,-149,111,-19,6,23,3
204,62,-2092,-154,110,-14,9,24,-1
204,63,-2086,-154,106,-14,7,23,1
201,63,-2088,-146,108,-18,7,23,3
200,62,-2087,-146,112,-16,5,25,-1
194,61,-2085,-153,115,-11,8,23,0
197,63,-2090,-145,111,-11,6,22,1
200,61,-2093,-153,105,-13,7,22,1
204,64,-2087,-156,112,-14,4,20,2
207,59,-2095,-147,117,-15,5,24,3
207,61,-2087,-152,114,-14,7,21,1
205,61,-2092,-154,110,-18,5,22,-1
